idJob,idUser,HasCandidated,DateRecord,computeLifeTime,nbrFoisOccupe,nbrFoisPosteClic,nbrFoisPosteLike,nbrFoisPosteComment,nbrFoisPosteCandid,computedExpDiff,computeCorrespDipl,computeCorrespTags,computeCorrespLangs,PageSubscribed,TotBusPostsLikedByUser,TotBusPostsCommByUser,TotPageVisitsByUser,likes,saves,clicks,applications,comments,totLikes,totJobSaves,totJobClicks,totApplications,totComments,totFollowers,totBusPageVisits
130,0,0,2/1/2019,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000416146,0,0.047440699,0.001248439,0,0.009836066,0,1,0.013114754,0,0.470588235,0.100591716
134,0,0,2/1/2019,24,0,0,0,0,0,-0.005555556,0,0,0,0,0,0,0,0,0,0.056906615,0,0,0.003527337,0,0.998236332,0.008818342,0.003527337,0.296296296,0.087096774
116,0,0,2/1/2019,30,0,0,0,0,0,-0.005555556,0,0,0,0,0,0,0,0,0,0.111726685,0.002770083,0.001846722,0.003527337,0,0.998236332,0.008818342,0.003527337,0.296296296,0.087096774
100,0,0,2/1/2019,19,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0.000478469,0,0.051674641,0.000956938,0,0.009259259,0,1,0.018518519,0,0.388888889,0.142857143
121,0,0,2/1/2019,2,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0,0,0.045554739,0.000734754,0,0.001042391,0,1,0.004951355,0.000347464,0.268722467,0.037944003
130,2179,0,2/1/2019,29,0,1,0,0,0,0.000538213,1,0,104,0,0,0,2,0.000416146,0,0.047440699,0.001248439,0,0.009836066,0,1,0.013114754,0,0.470588235,0.100591716
131,2179,0,2/1/2019,28,0,1,0,0,0,0.000538213,1,0,104,0,0,0,2,0.000807103,0,0.077078289,0.000403551,0,0.009836066,0,1,0.013114754,0,0.470588235,0.100591716
43,0,0,2/1/2019,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0.001134108,0,0.119081372,0.004536433,0.001701162,0.00789177,0,1,0.025930101,0.00789177,0.29245283,0.106747231
52,0,0,2/1/2019,29,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0.000974659,0,0.22417154,0.003898635,0.000974659,0.004347826,0,1,0.017391304,0.004347826,1.71875,0.122137405
18,621,1,2/1/2019,18,0,11,0,0,1,0.006666667,2,0,34,1,1,0,32,0.001035465,0,0.250582449,0.004400725,0.000776598,0.005995415,0,0.999823664,0.019573268,0.006348087,0.281144781,0.094888179
